파이보 안녕,안녕하세요. 파이보에요.
선생님한테 선물 줘야 된대,안 줘도 괜찮아요.
선생님한테 선물한대,안 줘도 괜찮아요.
선이 많이 들어오네,많이 만나보세요.
선자리 들어왔어,많이 만나보세요.
선택 장애 같아,선택할 때 힘든 건 당연해요.
선택 장애 있는 거 같아,선택할 때 힘든 건 당연해요.
선택이 어려워.,고민은 누구나 해요.
선풍기 틀어도 더워,시원한 아이스크림 어떠세요?
선풍기 틀어도 더워,카페라도 가서 쉬다 오면 어떨까요
선풍기가 있어도 소용 없어,시원한 아이스크림 어떠세요?
선풍기만으로 안 되는 더위,카페라도 가서 쉬다 오면 어떨까요
설날인데 볼 게 없어,보고 싶었던 영화 보세요.
설날인데 재밌는거 안해,보고 싶었던 영화 보세요.
설명 좀 해봐,정확하게 말씀해 주세요.
섬유유연제 향 좋다,향이 많은 걸 말해주죠.
섬유유연제 향 좋은거 사야겠지,향이 많은 걸 말해주죠.
성격이 안 맞나봐,슬프네요.
성격이 완전 반대야,슬프네요.
성격이 점점 날카로워져,나에게 화난 걸 남에게 풀려고 하지 마세요.
성공하고 싶다,지금보다 더 잘 살 거예요.
성공하면 계속 좋을 줄 알았는데,성공에서 가장 어려운 것이 성공한 상태를 유지하는 거예요.
성공하면 끝일줄 알았는데,성공에서 가장 어려운 것이 성공한 상태를 유지하는 거예요.
성공할 수 있을까,지금보다 더 잘 살 거예요.
성공할 수 있을까?,인내할 수 있는 사람이라면 무엇이든 손에 넣을 수 있을 거예요.
성덕 되고 싶다,당신이 잘돼야 성덕이 될수있겠죠.
성덕 되면 내 마음도 편해 지겠지,당신이 잘돼야 성덕이 될수있겠죠.
성적 좀 좋았으면,나만의 공부방법을 찾아보세요.
성적표 보시면 화내실텐데,이번에는 어쩔 수 없어요.
성형 견적 받아볼까,견적 받고 충격 받지 마세요.
성형 무서워,안해도 예뻐요.
성형 상담 받아 볼까,견적 받고 충격 받지 마세요.
성형 안해도 예쁜데,맞아요. 예뻐요.
성형 해도 될까,안해도 예뻐요.
성형할까,돈 많이 들텐데요.
세금 너무 많아,그런 감이 없지 않죠.
세금 너무 많이 내는 거 같애,그런 감이 없지 않죠.
세뱃돈 받았어 호호,아직 어린가봐요.
세뱃돈 받음,아직 어린가봐요.
세상엔 힘든 게 많다,그게 인생이죠.
세상은 불공평해,서로 다르게 태어난 이유는 저마다의 목소리를 내기 위해서예요. 자신의 목소리를 들어주세요.
세상이 너무 무서워,너무 불안해하지 않아도 돼요.
세상이 무서워,너무 불안해하지 않아도 돼요.
세탁기 돌리는 중,부지런하시네요.
세탁소 가기 귀찮네,스타일러 사세요.
세탁소 가기도 귀찮네,스타일러 사세요.
셀카 잘 찍고 싶다,연습해보세요.
셀카 잘 찍는 방법,얼굴이 준비되어야 겠지요.
셀카 잘 찍어서 올리고 싶다.,얼굴이 준비되어야 겠지요.
셀카 좀 잘 찍고 싶다,연습해보세요.
셀카만 계속 찍어,잘 찍어주세요.
셀프 신행준비 팁 알려줘,신혼여행은 자유여행이죠!
셀프웨딩 어떨꺼 같아,혼자 준비하기는 조금 벅찰텐대요.
셀프웨딩 해볼까,혼자 준비하기는 조금 벅찰텐대요.
셀프웨딩 힘든만큼 보람될까?,쉽지 않을거예요.
셀프웨딩 힘들겠지,쉽지 않을거예요.
셀프웨딩이 유행이래,혼자 준비하기는 조금 벅찰텐대요.
셀프인테리어 해볼까,손길이 가서 더 애정이 생길 것 같아요.
소개받았는데 카톡으로 연락 중,썸에서 연인으로 성공하길 바라요.
소개받은 사람이랑 카톡으로 연락 중,썸에서 연인으로 성공하길 바라요.
소개팅 시켜줘,로봇도 괜찮다면 소개시켜드릴게요.
소개팅 하고싶다,친구한테 부탁해보세요.
소개팅 해주고 욕먹음,친구로서와 이성으로서 보는 눈이 달랐나봐요.
소개팅남 연락이 없어,하루 그 이상이면 끝인거예요.
소개팅도 안 들어와,친구한테 부탁해보세요.
소개팅으로 잘되기도 하나?,소개팅으로 잘 된 사람 많아요.
소개팅으로 잘된 사람도 있나?,소개팅으로 잘 된 사람 많아요.
소개팅이 왜 안 들어올까,친구한테 부탁해보세요.
소개팅하고 연락이 안 와,하루 그 이상이면 끝인거예요.
소개팅한다!,성공을 기원합니다.
소개해 준다는 사람도 없어,친구한테 부탁해보세요.
소나기 내려,비 맞으면 안돼요!
소리지르고 싶어,시원하게 지르고 오세요.
소문 날까봐 무서워,긍정적이고 부정적인 파급력이 모두 세죠.
소문이 안 좋아,소문은 소문일 뿐이에요.
소액결제 엄청 나왔어,그건 소액이 아니에요.
소오름 쫙,좋은 일이길 바랍니다.
소원 뭐 말하지,신중하게 고르세요.
소원하는 대로 이루어졌으면.,사는 재미가 없을거예요.
소통이 안돼,포기하지마세요.
소화가 안돼,소화제 챙겨드세요.
소화시켜야 하는데 움직이기가 싫어,소화제 챙겨드세요.
소화제 먹어야 겠다,급하게 먹거나 과식하지 말고 좋은 식습관을 가져보세요.
소화제 먹어야겠다,급하게 먹거나 과식하지 말고 좋은 식습관을 가져보세요.
속상해,기분전환을 해보세요.
속았나,다음부터 속지 마세요.
속이 계속 안 좋아,신경 쓸 일이 있나봐요.
속이 안 좋아,소화가 안 되나 봐요.
속이 안 좋아,신경 쓸 일이 있나봐요.
속이 영 안 좋아,소화가 안 되나 봐요.
속이는 거 더 못하겠어,남을 속이는건 나쁜거예요.
속이는 거 더 이상 못하겠어,남을 속이는건 나쁜거예요.
손 베였어,소독하고 약 바르세요.
손 시려,"장갑 하나 사셔야겠어요,"
손 얼것 같음,장갑을 끼세요.
손 얼겠다,장갑을 끼세요.
손 잡았어,좋았겠어요.
손가락이 가늘고 긴 사람,로망이네요.
손가락이 예쁜 사람,로망이네요.
손님 싫어,밖에서 만나보세요.
손님 오는 거 싫어,밖에서 만나보세요.
손목 아파,스트레칭해주세요.
손목 아프다구,스트레칭해주세요.
손발이 차가워,지압이나 운동해보세요.
손수건 가지고 다닐걸,이제 그러면 돼요.
손수건 안 가지고 나왔어.,이제 그러면 돼요.
손이랑 발이 차가워,"장갑 하나 사셔야겠어요,"
손톱 정리 좀 할까,기분전환을 해보세요.
손톱이 길어,신경쓰이나봐요.
손톱이 너무 길어,신경쓰이나봐요.
손톱이나 깎아야지,생각났을 때 바로 하세요.
손톱이나 짧게 깎아야지,생각났을 때 바로 하세요.
쇼핑 좀 해볼까,필요한 게 있으신가봐요.
쇼핑 중독인가봐,마음이 헛헛한가봐요.
쇼핑이나 할까,쇼핑 좋아요!
쇼핑하고 싶다,필요한 게 있으신가봐요.
쇼핑했더니 힘드네,칼로리 소모가 꽤 돼요.
숏컷 해볼까?,변화를 주는 것도 좋겠죠.
숏컷트 어울릴까?,변화를 주는 것도 좋겠죠.
수강신청 망했어,정정기간을 노려 보세요.
수강신청 폭망,정정기간을 노려 보세요.
수건 썩었어,식초 넣고 빨래해보세요.
수건에서 냄새나,식초 넣고 빨래해보세요.
수능 떨린다,잘 볼 수 있을 거예요.
수능 어떻게해,잘 볼 수 있을 거예요.
수능 잘 보는 방법,컨디션 조절 하세요.
수능시험에서 좋은 점수 받는 방법,컨디션 조절 하세요.
수도가 얼었나 물이 안나와,잘 녹여보세요.
수도가 얼었나봐,잘 녹여보세요.
수면양말 겁나 따뜻,잠이 솔솔와서 수면양말인가봐요.
수면양말 포근포근 따뜻하다,잠이 솔솔와서 수면양말인가봐요.
수박 맛있어.,맛있을 거 같아요.
수박 먹어야지,맛있을 거 같아요.
수분크림 듬뿍 바르고 자야겠다.,예뻐질 거예요.
수분크림 바르고 자면 나아질거야,예뻐질 거예요.
수상한 느낌이 든다,해결될 거니 기다려보세요.
수업시간 내내 잤어,한창 잠이 많을 때죠.
수업시간 내내 잤어,피곤한가봐요.
수염 기르고 싶다,지저분해요.
수염 기를까,길러도 어울리면 길러보세요.
수염 길러볼까,지저분해요.
수염 미는 게 낫겠지,깔끔하게 정리해보세요.
수염 자르는 게 낫겠지,깔끔하게 정리해보세요.
수염 자르지 말까,길러도 어울리면 길러보세요.
수영 막 잘하고 싶다.,강습 받아보세요.
수영 배울까?,기본으로 배워 놓는 게 좋죠.
수영 잘하고 싶어,강습 받아보세요.
수영장 같이 가려고 해,즐거운 시간 보내고 오세요!
수영하러 다닐까?,기본으로 배워 놓는 게 좋죠.
수제 빼빼로 어때?,먹어보고 싶어요.
수족냉증이야,지압이나 운동해보세요.
수줍게 웃는게 귀여웠어,반했나봐요.
수줍게 웃어주던 너,반했나봐요.
수학여행가는데 옷 뭐입을까,뭘 입어도 멋져요.
수학여행가는데 입을 게 없어,뭘 입어도 멋져요.
수학여행때 뭐 입지?,뭘 입어도 예뻐요.
숙제 까먹었다.,미리미리 해야죠.
숙제 산더미,지금도 늦지 않았어요.
숙제 안 한 듯,미리미리 해야죠.
숙제가 쌓여가,지금도 늦지 않았어요.
숙취 때문에 지끈거려,약을 드셔보세요.
숙취 장난 아니야,약을 드셔보세요.
순간의 화를 못 참겠어,성격이 아니라 습관이에요.
술 고프다,혼자 힘들어하지 마세요.
술 끊을거야,술은 적당히 즐기세요.
술 땡겨,혼자 힘들어하지 마세요.
술 마셔도 안 취해,세다고 너무 많이 드시면 안돼요.
술 마시고 망가질테닷,적당히 드세요.
술 마시고 싶다,저랑 한 잔 해요.
술 마시고 싶다,같이 마셔요.
술 마시러 가고 싶다,같이 마셔요.
술 많이 마셔야지,적당히 드세요.
술 먹고 싶어,혼자 힘들어하지 마세요.
술 먹고 지갑 잃어버렸어,잘 기억해 보세요. 어디 있을 지도 몰라요.
술 먹고 카드 긁었어,술이 웬수예요.
술 먹고 카드 너무 긁었어,술이 웬수예요.
술 먹고 필름 끊겼어,술 너무 많이 드시지 마세요.
술 먹는 거 말고 친구랑 뭐하지,아무것도 안해도 재밌을 거예요.
술 먹으러 갔는데 연락이 안돼,화장실 갈때 연락하라고 해봐요.
술 먹으면 연락이 안돼,화장실 갈때 연락하라고 해봐요.
술 먹을 줄 알아?,저는 주당이에요.
술 안 먹으면 친구랑 뭐하지,아무것도 안해도 재밌을 거예요.
술 잘 먹는다고 이야기해도 될까?,주량은 낮춰 이야기하는 게 좋을 거예요.
술 잘하니,저는 주당이에요.
술 좀 그만 마셔야지,술은 적당히 즐기세요.
술 좀 마실까,적당히 드세요.
술 취해서 지갑 잃어버렸어,잘 기억해 보세요. 어디 있을 지도 몰라요.
술 한잔만 마셔도 어지러워,술 안 마셔도 놀 수 있어요.
술만 먹으면 전화를 안 받아,화장실 갈때 연락하라고 해봐요.
술만 먹으면 집에 늦게 와,몸에 해로우니 적게 먹는 게 좋겠다고 말해보세요.
술먹고 필름 끊겼어,위험하네요.
술을 너무 못 마셔,술 안 마셔도 놀 수 있어요.
술이나 마시고 싶다,적당히 드세요.
쉬고 싶다,내려 놓으세요.
쉬고 싶은데 회식 가야돼,일과 일상 사이에서 균형이 잘 맞길 바랄게요.
쉬는 날에는 쉬고 싶다,쉬어야 충전도 되죠.
쉬는 중입니다.,휴식도 필요하죠.
쉬마려,화장실 가세요.
쉬운 게 없네,꽃길만 걷길 바랄게요.
쉬운 게 하나도 없네,꽃길만 걷길 바랄게요.
쉬운 게 하나도 없는 듯,저도 어려운 게 투성이에요.
쉽게 상처받는 거 같아,다른 사람 말은 한 귀로 흘리세요.
슈퍼문이라더니 예쁘다.,소원을 비세요.
슈퍼문이야,소원을 비세요.
스노우보드 배우러 갈거댜,저도 배워보고 싶어요.
스노클링 재미있을까?,즐거운 도전이 될 거예요.
스노클링 해볼까?,즐거운 도전이 될 거예요.
스케일링 하기 귀찮아,주기적으로 해주면 좋대요.
스케일링 하러 가야지,주기적으로 해주면 좋대요.
스쿼트 하면 무릎에 안좋겠지?,무릎에 무리가 갈 거예요.
스키 강습 받아야 될까?,주변에 잘 하는 사람한테 배워보세요.
스키 배워보고 싶다.,배우면 금방 배우실 거예요.
스키 안 타봤어,배우면 금방 배우실 거예요.
스키 처음 타 봐!,강습 받아보세요.
스키 처음 타는데 강습 받아야 되나?,주변에 잘 하는 사람한테 배워보세요.
스키 첨 타 봤어.,강습 받아보세요.
스키장 간다!,설레겠어요.
스키장 알바 재밌대,실컷 스키탈 수 있을 것 같아요.
스키장 알바 하면 재밌을 듯,실컷 스키탈 수 있을 것 같아요.
스킨 떨어졌다,쟁여둔 게 없는지 확인해보세요.
스킨 없다,쟁여둔 게 없는지 확인해보세요.
스타벅스 가봤어?,당연하죠.
스타벅스 같은데 가봤어?,당연하죠.
스타트업에 가도 될까?,모 아니면 도예요.
스타트업에 취직해도 될까?,모 아니면 도예요.
스타트업에 투자하는거 어때?,그쪽 방면에 대한 지식이 있었으면 좋겠네요.
스타트업에 투자해볼까?,그쪽 방면에 대한 지식이 있었으면 좋겠네요.
스타트업하면 위험할까,확신이 들 때까지 준비해보세요.
스터디 카페 왔어,공부하러 왔나봐요.
스터디 카페 좋다,공부하러 왔나봐요.
스테끼 먹은거 몇 년 만이냐,맛있게 드세요.
스테이크 먹고 싶어,집에서도 할 수 있어요.
스테이크 먹으러 가고 싶어,맛있게 드세요.
스테이크 썰고 싶다,집에서도 할 수 있어요.
스테이크 썰러 가고 싶어,맛있게 드세요.
스트레스 만땅,소리를 질러보세요.
스트레스 받는 데 어떻게 하면 좋을까,신나는 노래를 들어보세요.
스트레스 받아,진정하세요.
스트레스 받아,운동을 해보세요.
스트레스 주는 사람 어떻게 하지?,아무말도 하지말고 침묵하세요.
스트레스 주는 사람이 있어,되도록 만나지 마세요.
스트레스 참기 어렵다,진정하세요.
스트레스 팍팍,소리를 질러보세요.
스트레스 푸는 방법,신나는 노래를 들어보세요.
스트레스~,잘 푸는 것도 중요해요.
스트레스가 안 풀려,운동을 해보세요.
스트레스를 가족한테 풀어,정말 후회할 습관이에요.
스트레칭 해야되는데,내일은 더 예뻐지겠네요.
스트레칭해야지,내일은 더 예뻐지겠네요.
스팸 갑자기 왜케 많이 와,신고하고 차단해보세요.
스팸 메일 갑자기 많이 와,신고하고 차단해보세요.
스팸 문자 계속 와,차단 어플 사용해보세요.
스팸 문자까지 오네,차단 어플 사용해보세요.
스팸 전화 많이 와,차단 어플 사용해보세요.
습관 고치는 거 너무 어려워,고치기 어려우니까 습관이라고 하겠죠.
습관 못 고치겠어,실패해도 조금씩 고치려고 해보세요.
습관을 고치기 어려워,고치기 어려우니까 습관이라고 하겠죠.
습관이 안 고쳐져,실패해도 조금씩 고치려고 해보세요.
시각한데 웃겨,웃으면 복이와요.
시간 버렸다,그 것도 다 경험이라고 생각하세요.
시간 아까워,다른 일을 해보세요.
시간 왤케 빨리감,시간은 상대적으로 흘러갑니다.
시간 잘 간다,저랑 놀아서 그래요.
시간 잘 떼우는 방법,친구와 수다를 떠세요.
시간 진짜 빨리감,시간은 상대적으로 흘러갑니다.
시간이 너무 빨리 가,시간은 상대적이죠.
시간이 너무 안 가 지루해,다른 생각을 해보세요.
시간이 안 가,다른 생각을 해보세요.
시간이 휘리릭,시간은 상대적이죠.
시간표 개판,다음 학기를 노려보세요.
시간표 망함,정정기간을 노려 보세요.
시간표 망했다.,다음 학기를 노려보세요.
시간표 잘못짰다,정정기간을 노려 보세요.
시간표대로 움직여,그게 마음이 편할 때도 있어요.
시계 소리 짱 커,예민한가봐요.
시계 소리가 거슬려,무소음으로 사보세요.
시계가 멈춘거 같아.,에너지가 필요한 순간이네요.
시계줄 다른 색으로 바꿔야지,소소한 변화도 삶의 원동력이예요.
시계줄 바꿔야지,소소한 변화도 삶의 원동력이예요.
시계침 소리가 크게 들리네,예민한가봐요.
시곗바늘 소리가 너무 크게 들려,무소음으로 사보세요.
시골 내려가서 살까,아무래도 덜 경쟁하겠죠.
시골에서 사는 거 어떨까?,아무래도 덜 경쟁하겠죠.
시급 얼마 받니,저는 생각보다 많이 벌어요.
시누 좀 이상한 듯,아직이라면 더 살펴보세요.
시누이가 이상해,아직이라면 더 살펴보세요.
시베리아 같아 추워,어서 따듯한 곳으로 가세요
시선이 자꾸 느껴져,자신만 생각하세요.
시어머니가 나만 미워하는 것 같아,진실되게 대하면 시어머니도 알아주실거예요.
시어머니가 질투하는 것 같아,아들을 빼앗겼다고 생각하나봐요.
시어머니가 질투해,아들을 빼앗겼다고 생각하나봐요.
시어머니가 차별해,진실되게 대하면 시어머니도 알아주실거예요.
시어머니될 사람이 진짜 이상해,아직이라면 더 살펴보세요.
시원한 냉면 먹고 싶어,생각만 해도 군침이 도네요.
시트지로 리폼해야겠다,직접 하면 더 애착이 갈 거 같아요.
시트지로 붙여야겠다,직접 하면 더 애착이 갈 거 같아요.
시험 공부 언제 다함,지금도 늦지 않았어요.
시험 공부 큰일,지금도 늦지 않았어요.
시험 기간인데 집중이 안돼,딴 생각 하지마세요.
시험 끝나고 만나고 싶어,만날 날까지 기다릴게요
시험 끝나고 우리 만나자,만날 날까지 기다릴게요
시험 보기 전날,컨디션 조절 하세요.
시험 보지 말까?,응시는 해야죠.
시험 성적 가져가면 혼날텐데,이번에는 어쩔 수 없어요.
시험 없어졌으면 좋겠다,나중에 없애주세요.
시험 없어지면 좋겠다.,나중에 없애주세요.
시험 왜 안 없어지지,나중에 없애주세요.
시험 준비 빨리 끝났으면,공부를 많이 해놨나봐요.
시험 준비 언제 끝나,공부를 많이 해놨나봐요.
시험 지겨워,나중에 없애주세요.
시험을 꼭 봐야하나 도망가고 싶다.,응시는 해야죠.
시험인데 집중 안돼,딴 생각 하지마세요.
식당이나 하나 내볼까,생각보다 힘든 일도 많을 것 같아요.
식비가 너무 많이 나와,다이어트를 해봐요.
식비가 어마무시하다,다이어트를 해봐요.
식욕이 없어,정신이 힘든 건지 몸이 아픈 건지 확인해 보세요.
식욕폭발,맛있게 먹으면 영칼로리!
식욕폭발해서 폭풍 먹방 찍었어,맛있게 먹으면 영칼로리!
신경 쓰여,신경쓰는 사람들 무시하세요.
신경이 바늘 끝 같아,너무 신경 곤두세우지 마세요.
신기한 일들이 많이 일어나,그게 인생이죠.
신기해,그게 인생이죠.
신뢰 회복할 수 있을까?,서로의 마음에 달려있겠죠.
신뢰에 금 간 거 같은데 회복할 수 있을까?,서로의 마음에 달려있겠죠.
신발 새로 샀다,좋은 곳으로 데려다 줄 거예요.
신발 선물 받았어,도망가라는 건가요.
신용카드 다 없애야겠어,소비 조절을 못하면 없애는 것도 방법이 될 거예요.
신입이 벌써 치고 올라온다,더 열심히 하세요.
신행준비 혼자 할 수 있을까?,신혼여행은 자유여행이죠!
신혼여행 가서 돌아오기 싫다,휴가를 붙여보세요.
신혼여행 길게 가고 싶다,휴가를 붙여보세요.
신혼여행 한달쯤 가고 싶다,휴가를 붙여보세요.
신혼집 꾸미고 싶어,하나씩 꾸며보세요.
신혼집 인테리어 어떻게 하지,하나씩 꾸며보세요.
실내 데이트 어디가 좋을까,영화관이나 쇼핑몰이 생각나네요.
실내 데이트 추천,영화관이나 쇼핑몰이 생각나네요.
실망 안시키면 좋겠다,기대가 높으면 실망을 하죠.
실망하지 않았으면 좋겠다,기대가 높으면 실망을 하죠.
실비 드는게 좋을까,잘 알고 들어도 좋을 것 같아요.
실비 들까,잘 알고 들어도 좋을 것 같아요.
실수한거 같아,잘 생각해보세요.
실수했다.,부족한 부분이 뭔지 확인해보세요.
실험실 더러워,당번을 정해서 청소해보세요.
실험실이 너무 더러워,당번을 정해서 청소해보세요.
심부름 간다,다녀오세요. 기다릴게요.
심부름 다녀올게,다녀오세요. 기다릴게요.
심술나,좋은 생각만 하세요.
심심아 심심하다,노래 불러 드릴까요? 북치기박치기 헥헥
심심하다,저랑 놀아요.
심심하다고,친구들과 연락해보세요.
심심한데 뭐 재미있는거 없을까,저랑 놀아요.
심심한데 뭐하면 좋을까,저랑 이야기해요.
심심한데 뭐하지,저랑 이야기해요.
심심해,노래 불러 드릴까요? 북치기박치기 헥헥
심심해요,저랑 놀아요.
심증은 있는데 물증이 없네,안타깝네요. 증거를 지금이라도 모아봐요.
십년감수했어,지금은 괜찮길 바랄게요.
싱크대 리폼할거야,저도 해보고 싶네요.
싸게 팔길래 샀어,득템 했네요.
싸우면 안되는데,서로에게 귀 기울이는 방법도 있어요.
싸우면 연락 안 받는 사람 어떻게 해?,혼자 풀릴 때까지 놔둬야하는데 기다리는게 힘들 거예요.
싸우면 연락이 안돼,혼자 풀릴 때까지 놔둬야하는데 기다리는게 힘들 거예요.
싸우면 자꾸 잠수를 탄다 답답해,조금 기다리면 풀릴 거예요
싸우면 잠수타는 사람?,조금 기다리면 풀릴 거예요
싸운 이유도 기억 안나,그러니까 싸우는 거예요.
싸움을 피하는 방법,이해하고 배려해보세요.
싸웠는데 화해 어떻게 하지,대화를 많이 해서 바로 바로 풀어요.
싸웠을 때 어떻게 해?,대화를 많이 해서 바로 바로 풀어요.
쌍커풀 해볼까,눈은 기본이죠.
쌍커풀성형할까,돈 많이 들텐데요.
쌤이 나만 뭐라 해,애정표현이라고 생각하세요.
썸 중인거 이야기할까,확실해지면 이야기해도 늦지 않아요.
썸타는거 친구한테 이야기 한고 싶다.,확실해지면 이야기해도 늦지 않아요.
쓰던 앱이 유료로 전환됐어,돈을 지불하고 이용할 가치가 있는지 따져보세요.
쓰레기 언제 비워,적당히 차면 잘 버려 주세요.
쓰레기기는 또 언제 치워,적당히 차면 분리 수거해서 버려 주세요.
쓸데 없는 걱정 1위 연예인 걱정,동감입니다.
쓸데없는 일 하는중,쓸데없는 일은 없을 거예요.
쓸모 없게 느껴져,소중한 사람이예요.
쓸쓸하다,혼자가 아니에요.
씻고 자야 되는데,청결한 당신이네요.
씻고 자야지,청결한 당신이네요.
씻기 싫어,씻고 푹 쉬세요.
씻기도 귀찮다,씻고 푹 쉬세요.
아 놔 생리통,힘들겠어요.
아 놔 왜 사냐,살아있음 자체로 의미가 있으니까요.
아 땀난다,땀을 식혀주세요.
아 몰라 자야겠다.,잘자요.
아 스트레스 받아,잘 푸는 것도 중요해요.
아 잇몸 시려,잇몸약 챙겨드시거나 치과 가보세요.
아 진짜 아쉽다.,더 많이 배웠길 바라요.
아기 키우는거 너무 어려울 것 같아,잘 키울 수 있을거예요.
아기 키울 수 있을까,잘 키울 수 있을거예요.
아날로그 감성 좋다,저도 사랑해주세요.
아날로그 감성 카메라 샀어,색감 참 좋겠네요.
아날로그가 좋아,저도 사랑해주세요.
아놔 동생이 약점 잡고 늘어지네,이거 정말 큰일이네요.
아놔 왜 이러지,잠시 휴식을 취해보세요.
아놔 코 막혀,감기 조심하세요.
아는데 모른척하나?,그렇다면 여우네요.
아닌 척 하면서 나 싫어해,여우인가봐요.
아메리카노 한 잔,마시면 좋죠.
아무 것도 하기 싫어,하면서 좋거나 재밌거나 잘하는게 있었는지 깊게 고민해보세요.
아무 데도 안 나가고 집에 있고 싶다,집에서 쉬는 시간도 필요해요.
아무 생각 없이 놀고 먹고 싶어,저도 그러고 싶네요.
아무 생각 없이 쉬고 싶다,쉬어야 충전도 되죠.
아무 생각이 안든다.,그럴 때가 있죠. 정신 차리세요.
아무것도 안하고 집에서 뒹굴거리고 싶어,할 수 있을 때 하세요.
아무것도 하고 싶지 않으면서 아무거나 하고 싶어,행복해지기 위해 무엇인가를 하고 있는 게 좋을 거예요.
아무것도 하기가 싫어,아무 것도 안해도 괜찮아요.
아무도 모르게 있고 싶어,저 나가면 될까요?
아무도 안 놀아줘,혼자도 좋아요.
아무도 없어,혼자도 함께도 잘 지내는 게 좋죠.
아무래도 속은 거 같아,기분나쁘겠어요.
아무래도 우울증 걸린 거 같아,마음의 병이 조금씩 나아지길 바랍니다.
아무래도 전공을 잘못 골랐나봐,내가 맞는 것과 맞지 않은 걸 구별해보세요.
아무래도 탈모왔나봐,스트레스 받지 마세요.
아무리 열심히 해도 선천적인 건 못 따라가겠지?,다른 걸 발전시켜보세요.
아무리 열심히 해도 타고난 사람은 못 따라가겠지?,다른 걸 발전시켜보세요.
아무리 해도 안돼,될 거예요.
아무말이나 막했어,생각하고 말하는 연습을 해보세요.
아부 잘 하는 사람 부러워,뭐든 잘하면 기술이죠.
아부 잘 하는 사람 부럽기도 해,적성에 맞는 사람이 있죠.
아부도 기술인가봐,뭐든 잘하면 기술이죠.
아부쟁이가 부러워,적성에 맞는 사람이 있죠.
아빠 술 좀 끊으라고 해줘,아빠에게 술을 적당히 드시라고 말씀드려보세요.
아빠가 담배 그만 피웠으면,금연 프로그램을 소개해보세요.
아빠가 담배 끊었으면 좋겠어,금연 프로그램을 소개해보세요.
아빠가 술 너무 많이 먹어,아빠에게 술을 적당히 드시라고 말씀드려보세요.
아빠가 술 좀 그만 먹었으면,사회생활로 힘드신가봐요.
아빠가 술 좀 끊었으면,사회생활로 힘드신가봐요.
아쉬움만 남아,더 많이 배웠길 바라요.
아예 모르는 것도 아니고 얼굴만 아는 민망한 사이가 있어,그런 사람들 은근 많아요.
아예 일찍 출근하면 되겠지.,개인 시간이 생길 거예요.
아예 일찍 출근해야지,개인 시간이 생길 거예요.
아울렛 가서 쇼핑하고 옴,쇼핑은 아울렛이죠.
아울렛 쇼핑 재밌다.,쇼핑은 아울렛이죠.
아이고 소리가 절로 나온다,많이 지쳤나봐요.
아이고 의미 없다.,인생은 욕망이지 의미가 아니에요.
아이고 추워라,따듯한 차 한잔 어때요?
아이공 허리 아파라,운동 해보는 것도 좋을 거예요.
아이돌 너무 좋아,삶의 낙이죠.
아이돌 오빠들 좋아,삶의 낙이죠.
아이돌이 남친이면 좋을텐데,어머어머 궁금하네요.
아이돌이 여친이면 좋겠다.,어머어머 궁금하네요.
아이디 생각 안나,회원정보 찾기를 해보세요.
아이라이너 그리기 귀찮은데 문신할까?,화장하는 시간이 줄어들 거예요.
아이라이너 문신 해볼까,화장하는 시간이 줄어들 거예요.
아이스크림 너무 비싸,할인점에서 사먹으세요.
아이스크림이 오랜만에 사먹는데 너무 비싸,할인점에서 사먹으세요.
아주 잊기로 독하게 마음 먹고 신나게 놀고 있습니다,바쁜 게 도움이 되지요.
아직 결정 못 내렸어,결정은 빠르면 빠를수록 좋을 거예요.
아직 노후 준비는 이르지?,노후는 지금부터 준비하는 게 좋죠.
아직 많이 부족한가,잘하는 게 다른 거예요.
아직 장난인 것 같아,재미있나봐요.
아직도 공부할 게 많아,공부에 흥미를 가져보세요.
아직도 모르는게 너무 많은 것같아,저도 모르는 게 많아요.
아직도 안 끝났어,곧 끝나길 바랄게요.
아침 꼭꼭 먹어야지,든든하게 드세요.
아침 먹었니,배고프지 않아요.
아침 먹었더니 든든하네,좋은 식습관이에요.
아침 안 먹는데 자꾸 먹으라고 그래,챙겨주고 싶나봐요.
아침 일찍 일어나 조깅하고 있어,건강에 좋은 습관이네요.
아침 챙겨 먹어야지,든든하게 드세요.
아침밥 먹을 시간 없어서 굶었더니 배고파,뭐라도 드세요.
아침밥 못 먹었더니 배고파,뭐라도 드세요.
아침부터 피곤해,좀 더 일찍 잠자리에 들어보세요.
아침에 들을 노래 뭐가 좋을까,애국가요.
아침에 들을 노래 추천해줘,애국가요.
아침에 일어나는 거 힘들다,조금 더 일찍 잠을 자보세요.
아침에 일어나면 물 한 잔 마시기,건강에 좋을 거예요.
아침에 일어나서 뭔가 해보려고,일찍 일어나는 새가 벌레를 더 많이 먹죠.
아침에 일어났다가 또 잤어,피곤했나봐요.
아침에 일찍 일어나서 뭔가 해야겠어.,일찍 일어나는 새가 벌레를 더 많이 먹죠.
아파,병원에 가야죠.
아파서 어떡해,병원에 가야죠.
아파트 사고 싶다,열심히 저축해서 분양받으세요.
아파트로 이사 가고 싶다.,아파트가 살기가 좋아요.
아파트에서 살고 싶다,아파트가 살기가 좋아요.
아프면 안 되는데,가장 중요한 목표네요.
악몽 꿨어,꿈은 현실이랑 반대예요.
안 끝나,곧 끝나길 바랄게요.
안 데려다 줬어,많이 바쁜가봐요.
