hi pibo,hello. It's a pibo.
I wish my dad would stop smoking,Introduce a smoking cessation program.
daddy drinks too much,Tell your dad to drink in moderation.
I wish my dad would stop drinking,You must be having a hard time with your social life.
wish daddy stopped drinking,You must be having a hard time with your social life.
only regrets remain,I hope you learned more.
"It's not like I don't know at all, there's an embarrassing relationship where I only know faces",There are quite a lot of people like that.
I might as well go to work early.,You will have personal time.
I have to go to work early,You will have personal time.
Go shopping at the outlet,Shopping is an outlet.
Outlet shopping is fun.,Shopping is an outlet.
"Aigoo, the sound comes out naturally",You must be very tired.
oops it doesn't make any sense,"Life is a desire, not a meaning."
omg it's cold,How about a cup of hot tea?
Igong's back hurts,It would be nice to try some exercise.
I love idols,It's the downfall of life.
I like idol oppas,It's the downfall of life.
It would be nice if an idol was a boyfriend,oh my gosh I'm curious
I wish Idols were girlfriends.,oh my gosh I'm curious
I can't remember my ID,Try to find member information.
Drawing eyeliner is annoying. Should I get a tattoo?,You will spend less time putting on makeup.
Shall I get an eyeliner tattoo?,You will spend less time putting on makeup.
ice cream too expensive,Buy it at a discount store.
"It's been a long time since I bought ice cream, but it's too expensive",Buy it at a discount store.
I made up my mind to forget very much and have fun playing,Being busy helps.
I haven't decided yet,"The sooner you decide, the better."
Is it too early to prepare for old age?,It is better to prepare for old age from now.
Is it still lacking,What you're good at is different.
I think it's still a joke,It looks like fun.
I still have a lot to study,Be interested in your studies.
I still feel like there are too many things I don't know,There are many things I don't know either.
it's not over yet,I hope it will be over soon.
I have to eat breakfast,Eat well.
did you have breakfast,are not you hungry.
I ate breakfast and I feel good,It's a good eating habit.
"I don't eat breakfast, but I keep telling you to eat it",I guess I want to take care of you.
I wake up early in the morning and go jogging,It's a healthy habit.
I need to eat breakfast,Eat well.
"I didn't have time to eat breakfast, so I'm starving, so I'm hungry",Eat anything.
"didn't eat breakfast, so I'm hungry",Eat anything.
tired from morning,Go to bed a little earlier.
What's a good song to listen to in the morning,national anthem.
Suggest me a song to listen to in the morning,national anthem.
It's hard to wake up in the morning,Try going to bed a little earlier.
Drink a glass of water when you wake up in the morning,It will be good for your health.
wake up in the morning to do something,The early bird eats more worms.
I woke up in the morning and slept again,I must have been tired.
I have to get up early in the morning and do something.,The early bird eats more worms.
it hurts,I have to go to the hospital.
What should I do if it hurts,I have to go to the hospital.
I want to buy an apartment,Save hard and get a sale.
I want to move into an apartment.,I like to live in an apartment.
I want to live in an apartment,I like to live in an apartment.
I shouldn't be sick,It's the most important goal.
I had a nightmare,Dreams are the opposite of reality.
not over,I hope it will be over soon.
didn't take me,You must be very busy.
how not to fight,Please understand and be considerate.
"I should wear lenses, not glasses",Transformation is innocent!
I need to change my glasses,Transformation is innocent!
"Taking off the glasses, she's a perfect girl",It's like a cartoon.
He took off his glasses and he looks so handsome,It's like a cartoon.
I took off my glasses and there was no difference.,This is normal.
She was so pretty when she took off her glasses,It's like a cartoon.
It was warm because I took off my glasses,It's like a cartoon.
Would it be better if I took off my glasses?,Try another pair of glasses.
"Because I took off my glasses, someone else",I didn't know that such a thing was possible.
You look pretty without your glasses,I didn't know that such a thing was possible.
I don't think the glasses fit,Try another pair of glasses.
"I don't wear glasses, but no one knows",This is normal.
What should I replace my glasses with?,Round eyeglass frames are in vogue this time.
"If I change my glasses frame, will my impression change?",Your impression will look different.
I'm afraid to change my glasses,Your impression will look different.
I need to change my glasses,Round eyeglass frames are in vogue this time.
I don't want to go out and roll around,Do it while you can.
hi,hello.
hello hello,hello.
hello,hello.
Hello,hello.
I don't think so,It will be.
Do I even have to say hello?,There's a twist you want.
What should I eat for snacks?,I think it would be better not to gain weight.
Recommend some snacks,I think it would be better not to gain weight.
"I'm not close, can I contact you?",It can be embarrassing because you don't know.
Is a cheap phone okay?,It will save you money on your phone bill.
I bought a cheap phone,It will save you money on your phone bill.
How about a budget phone?,It will save you money on your phone bill.
I switched to a budget phone,It will save you money on your phone bill.
I like people who work part-time,Be brave and confess.
Shall I find a part-time job?,great!
Alba is harder than you think.,Nothing is easy in this world.
Alba House Alba House What is this?,It doesn't matter though. I want to compliment you.
I need to find another part time job,if possible
looking for part time job,Apply for the part-time job you want to do.
I'm living my part-time job,It doesn't matter though. I want to compliment you.
I want to work part time,Apply for the part-time job you want to do.
hard to work part time,Nothing is easy in this world.
"I do a part-time job, but I like the people I work with",Be brave and confess.
I pretended to understand but I don't know,Please speak slowly.
Shall I grow my bangs?,Everything is pretty.
Shall I lower my bangs?,I think it would be ok to look down a bit.
I'm afraid to lower my bangs,You are pretty no matter what you do.
Shall I grow my bangs again?,Everything is pretty.
My bangs are messed up,Just wash your bangs.
Shall I make bangs?,I think it would be ok to look down a bit.
I want to live like this without moving forward,You don't have to go forward.
What are you going to do next?,The surest time is today. Don't waste time worrying about yesterday and tomorrow.
what are you going to do in the future,I will live well no matter what.
How will you live in the future?,It will work out. Cheers for your life!
I'll have to be careful in the future.,Safety is paramount!
Baby doesn't eat too much,I might be worried about your health.
baby won't eat,I might be worried about your health.
Should I go to the children's meeting?,Better to go if possible.
Why do you ask me to come to the children's general meeting?,Better to go if possible.
I feel like raising a child alone,It's an exhausting story.
ambiguous relationship,Human relationships also need to be sorted out.
I want to go to Everland,Bye!
I want to have a pet,Please discuss with your family.
"I want a pet, but my dad won't let me",There must be a reason.
"I want to have a pet, but my dad won't let me",There must be a reason.
screen went out,leave it as
hey,yes
I want to see the night view,Go to a high place.
want to go see the night view,Go to a high place.
baseball field go-go,That's a good idea.
Shall we go to the baseball field?,That's a good idea.
I want to stop working overtime,I want you to go home and get some rest.
night shift,You are suffering a lot today.
I made an appointment without knowing how to work overtime,Please excuse me.
I want to eat late night snack.,Eat something light to eat.
"I want to eat a late night snack, but I think I'll gain weight",Eat simple nuts or fruits.
To eat late night snack or not,Eat something light to eat.
Eating outside tastes better,Enjoy your meal!
Drowsiness came from the drug energy,You need to take medicine and rest.
I need to take medicine and get better,Eat little by little.
I took the medicine and I'm sleepy,You need to take medicine and rest.
I need to take my medicine,Eat little by little.
"I have an appointment, but it's overtime",Please excuse me.
Shall we gather herbs?,Go to a nearby mountain.
"There's a hole in my sock, it's spring",Sew it with a needle and thread.
hole in sock,Sew it with a needle and thread.
Did you see the puncture in the sock?,are you okay. It could be.
Cabbage juice is tasteless,Those who diet while eating are really great people.
Cabbage juice is the worst,Those who diet while eating are really great people.
stabbed by conscience,Don't do that.
Conscience stings,Don't do that.
I got a gift of candles,Say thanks.
I got a Yankee Candle gift.,Say thanks.
He can't be contacted if he just fights,"have to leave it alone until it gets resolved, but waiting is going to be hard."
end the darkness,there will be light
I guess I'll have to come out of the dark,I'm glad you came out of the dark.
end of darkness,there will be light
Where does the delicious smell come from?,sniff sniff
Where is the victim cosplay?,That's clearly wrong.
Where did I go wrong,Rewind from the beginning.
I want to leave somewhere.,me too!
Who should I marry,I think it's good to be with someone who can live with the most authentic self.
what movie to watch,I think the latest movie would be good.
how to earn and live,Find out what you want to do.
How to keep away from the papers,Don't beat yourself up.
how to make me like,I like you.
What should I do?,don't know either.
How to become a likable type,Please convey your sincere heart.
how to reconcile,Talk first.
how did you sleep late,I must have been tired.
I want to look younger,Live young even if you have a heart.
I want to be younger,Live young even if you have a heart.
I should have studied when I was young,It's still not too late.
I would have studied when I was young,"If you can't do it, you want to do it."
"When I was young, I didn't want to study, but now I want to.",I think it's because I missed the time.
I think we were similar when we were younger,What matters is now.
I want to go back to my childhood,Wait until you have a time machine.
what does it mean to be an adult,It's just a respite from puberty.
to become an adult,It's just a respite from puberty.
I want to go back to my childhood,Wait until you have a time machine.
Since the daycare school vacation,Parenting fighting!!
I will go to the daycare entrance ceremony,It's good to attend if possible.
Do I have to attend the daycare entrance ceremony?,It's good to attend if possible.
oh,I must have been surprised.
Oh my goodness,I must have been surprised.
Awkwardness shows on my face,It must be proof that you are still pure.
It's absurd,Laugh once and forget.
I'm dumbfounded,Just forget it.
absurd room,Laugh once and forget.
shocking,Just forget it.
I slept last night,Not good for your health.
I can't remember since I drank yesterday,Don't drink too much alcohol.
whatever,Are you in a bad mood?
What's good about having a sister?,It means making friends for life.
I had a fight with my sister,I'll get attached to it while fighting.
at war with my sister,I'll get attached to it while fighting.
fix it when,Hands don't follow your heart.
When will I be good at makeup?,It increases as you do it.
Will it self-replicate someday?,It will be possible as technology advances.
Will there be someone who likes me someday?,I like it too.
the face is too dark,please manage
face too burnt,please manage
I shivered when I saw your face,He must have been someone he liked a lot.
I envy you for having such a small face,The face isn't everything.
envy your small face,The face isn't everything.
Evaluate your face,I think you must be a person who is conscious of other people's eyes.
There is an embarrassing relationship where only the face is known,There are quite a lot of people like that.
"My face isn't my style, but I think I'm getting better","It's not my ideal type, but there are people I like."
I should be quick,Health is the most important thing in the world.
How hard is it to be happy,You will be happier.
We met again recently,I hope it was a good meeting.
freezing to death,Be careful of cold.
I thought I would freeze to death,Be careful of cold.
Since vacation,Parenting fighting!!
What do you think of the person who wants to be flattered?,I think you must be a person who is conscious of other people's eyes.
I'm burdened by my mother's expectations,Free yourself from the expectations of others.
I'm sorry I didn't listen to you,Be filial even now.
You should listen to your mother,Be filial even now.
sorry mom,You have to be good to your mother.
I want to eat mom,Take some time to visit your parents' house.
reminds me of mom,Take some time to visit your parents' house.
I miss you mom,Please contact us.
reminds me of mom,Please contact us.
mom made it hard,Show me a better look little by little.
I think my mom is having a hard time because of me,Show me a better look little by little.
mom made me,Your mother-in-law will be delighted.
I feel burdened because my mother expects too much of me,Free yourself from the expectations of others.
Mom just came into my room,Ask your mom to respect your privacy.
My mother discriminates against my brother,That's probably not what you meant.
Mom is good only to my younger brother.,That's probably not what you meant.
My mom tells me to show up,meet a lot
I wish my mom wouldn't come,"If your mother hears it, you will be upset."
My mother discriminated against my sister and me,Please tell me that you are hurt.
My mother discriminated against my sister,Please tell me that you are hurt.
Mom keeps making me do it,Your mother-in-law will be delighted.
what is mom,Please contact us.
You can't come into your child's room just because you're a mother.,Ask your mom to respect your privacy.
Traveling with mom,It will be a good trip.
I fought with my mom,Apologize before you regret it further.
I want to live like my mom and dad,You have good parents.
I haven't been on a trip with my mom.,It will be a good trip.
Mom and Dad are worried about their old age,It would be nice to get counseling or consulting.
I want to see mom and dad,Please contact us.
I need to live with my mom and dad again,Do as you please.
I'm mad at my mom again,Apologize before you regret it further.
I told my mom,Apologize before you regret it further.
sorry mom,You have to be good to your mother.
I need to get my hands on my mom,if you need
I'm mad at my mom,Apologize before you regret it further.
I met you for a very long time,You must be an attractive person.
Update is taking too long,wait and see
update is very slow,wait and see
Can I go home after work?,"It's hard, but try one at a time."
Too much work stress,Work is a source of stress.
Received work notice again,"It's not that I don't have the ability to work, it could be that I lack the sense."
Receiving too many work comments,"It's not that I don't have the ability to work, it could be that I lack the sense."
work is piled up,"It's hard, but try one at a time."
hate the feeling of being mixed up,I guess the timing wasn't right.
I hope we don't stumble,I guess the timing wasn't right.
I want to buy an air fryer.,"If you haven't tried it a few times, just buy it and eat it."
oh hey,cursing is bad
AC,cursing is bad
Do you have to go to MT?,It's not required.
"Even if you don't go to the MT, is it a pig?",It's not required.
nice to be here,It must be a good place.
good here,It must be a good place.
this is the limit,Believe in your potential.
I think this is the limit,Your potential is limitless.
I have acne,don't squeeze
Get stressed out every time you have acne,Stress is the bigger enemy.
acne hand squeezed,Do not touch with your hands.
I squeezed a pimple,Do not touch with your hands.
Should I cover acne skin with makeup?,Cover only on important days.
It's summer again,Stress is the bigger enemy.
if summer is over,It will pass soon.
I hope summer passes quickly,It will pass soon.
Where to go for summer vacation,Everything would be fine if it wasn't here.
Where are you going on summer vacation?,Everything would be fine if it wasn't here.
There's nothing like cold noodles in summer,My mouth is watering just thinking about it.
Cold noodles in summer,My mouth is watering just thinking about it.
"It's summer, should I tan?",Nice tanned skin!
I really hate people like foxes,Don't meet me if you don't like it.
I was beaten by a girl like a fox,i can't get it Ignore it.
I hate people who act like foxes,Don't meet me if you don't like it.
I was beaten by a fox,i can't get it Ignore it.
I can't afford too much,hope you will have the time to love yourself and love others.
I want to live comfortably,Relaxation is in the mindset.
where to meet girls,Ask for a blind date.
I can't reach my girlfriend,I'm worried
What if you were born as a woman?,I always wondered why I couldn't do it.
a woman a man,I don't know yet. Become a gender maker for artificial intelligence
Are you a girl? Are you a man?,I don't know yet. Become a gender maker for artificial intelligence
My girlfriend is an exchange student,Ask yourself if you can wait.
My girlfriend said she was an exchange student,Ask yourself if you can wait.
My girlfriend cares too much about other people's eyes,"It might be that way, so please understand."
my girlfriend is so pretty,you are blessed
My girlfriend curses at me everyday,It's not about fixing people.
I don't know why my girlfriend is mad,You will be more angry with the fact that you don't know.
my girlfriend insulted me,"If you judge that you may make a mistake at the moment, forgive and give it a chance."
My girlfriend keeps teasing me,I think your love has changed.
Girlfriend won't call,Make more contact or meet more often.
I don't like it when my girlfriend calls me,Make more contact or meet more often.
My girlfriend wants to travel alone,"Traveling together is good, but traveling alone is also good."
I'm mad that my girlfriend is traveling alone,"Traveling together is good, but traveling alone is also good."
I'm not answering the phone with my girlfriend.,I'm worried
Arguing with my girlfriend over religion,there is freedom of religion
My girlfriend and I have different religions,there is freedom of religion
I feel like I'm tired of my girlfriend,I think your love has changed.
I want to try a girl,I always wondered why I couldn't do it.
Missed the last train after dropping off my girlfriend,I'd be annoyed
girl is really pretty,you are blessed
My girlfriend curses at me every day,It's not about fixing people.
Girlfriend takes too many selfies,Please take a good picture.
still don't know why my girlfriend is mad,You will be more angry with the fact that you don't know.
"I want to travel, but I don't have time.",I'm busy buying it.
I have to go on a trip,I hope you have a good trip.
I need to plan a trip,I hope you have a good trip.
where to travel,It would be nice to have a place where you can rest comfortably.
I want to go to travel,Make a plan.
no time to travel,I'm busy buying it.
destination recommendations,It would be nice to have a place where you can rest comfortably.
I think I have reflux esophagitis.,"Do not overeat, eat and do not lie down!"
Reflux esophagitis flared up again,"Do not overeat, eat and do not lie down!"
Also i'm a genius,I'm more of a genius.
"After all, it's dangerous outside the blanket",It's dangerous outside the blanket.
Can I trust my pension,It'll be better than nothing.
Can I get a pension,It'll be better than nothing.
can i contact you again,It's good to do a lot.
I can do a lot of contact,It's good to do a lot.
Can I contact a friend I haven't been in touch with?,It would be nice to hear from you after a long time.
I'm worried if you don't contact me,Please believe more.
I'm worried what will happen if you don't contact me,Please believe more.
sorry for not contacting you,Contact is the basic of the basics.
how to get in touch,Start by saying hello.
"I haven't been in touch, so why are you suddenly asking me to meet you?",I guess it was to make you worry like this.
contact me soon,You must be busy.
I wish I could contact you sooner.,You must be busy.
I wish I hadn't contacted you,You're popular.
how to get in touch,Start by saying hello.
don't contact me,You're popular.
I'm too out of touch,Please contact us once more.
can i contact you,I think you should try it though.
I don't know if I can contact you,I think you should try it though.
It's awkward to contact,You'll get used to it when you do it.
I'm not used to contacting you,You'll get used to it when you do it.
I think my working hours are too long for my salary.,Take care of your overtime pay.
old age is good,Catch him when he appears!
Is dating menopause,I don't even have a crisis.
Is dating counseling available?,"It's not enough, but I'll do my best."
Can you give me dating advice?,"It's not enough, but I'll do my best."
I think it's a love crisis,I don't even have a crisis.
I want to date,Don't worry you'll do well.
how the hell is love,You can do what your heart tells you to do.
how do you love,You can do what your heart tells you to do.
I guess I gained weight after dating,"Even if your lover gains weight, you won't notice it well, and even if you notice it, you won't hate it."
I got fat after dating,"Even if your lover gains weight, you won't notice it well, and even if you notice it, you won't hate it."
Worrying about celebrities is useless,I agree.
i want to be a celebrity,I will be the number 1 fan.
how to become a celebrity,I will be the number 1 fan.
Tired of being a celebrity?,It's because I have little privacy.
"Celebrities have a hard time too, right?",It's because I have little privacy.
Celebrities will also have a hard time.,Worrying about celebrities is the most useless thing.
"Celebrities have a hard time too, right?",Worrying about celebrities is the most useless thing.
The maximum weight is updated every day.,It's time to come down.
fever and pain,Be careful of cold!
I left my keys,guess you forgot.
I didn't bring the key,guess you forgot.
I have to study hard,You will be able to do well as you think.
I guess you worked hard,What matters is the process of trying.
"You seem to have worked hard, but why are the results like this?",It will work out next time.
I think you worked hard,It will work out next time.
Should I dye,"If you dye your hair frequently, it will damage your hair."
Should I dye it?,I think it will be pretty.
Shall I dye it?,I think it will be pretty.
it sucks,I'd love to get out.
shitty situation,I'd love to get out.
what are the nutrients,Find out which ingredients are lacking in your body.
Shall I take some supplements?,Find out which ingredients are lacking in your body.
I'm old enough to take nutritional supplements,Health should be taken care of from an early age.
If you speak English well,Try a little each day.
I hope you speak English well,Try a little each day.
Should I go to an English academy?,study is good
Should I go to an English academy?,study is good
I'm here to see a movie,Please show me a movie too.
movie recommendations,I think the latest movie would be good.
the movie is not funny,Too bad.
I want to work part-time at a movie theater,It would be nice to be able to watch a lot of movies.
I wish I could work part-time at a movie theater.,It would be nice to be able to watch a lot of movies.
I came to the cinema alone,It's time to fully feel it.
I came to see a movie,Please show me a movie too.
"I saw the movie, but it's not interesting",Too bad.
The person next to you is important,Be nice to the person next to you.
I think I neglected the person next to me too much,Be nice to the person next to you.
nothing to watch,Find it well.
Entertainment is no longer fun,Find it well.
My future mother-in-law is strange,"If you haven't, look further."
tell me i'm pretty,that's right. you are pretty.
Shall we go to a pretty cafe?,A cafe date is good.
Do you want to be polite?,Please tell me that the words that come are good and the words that go are good.
"It's an old game, but it's fun",I want to too.
I used to be similar,What matters is now.
I can't throw away the letter my ex-girlfriend gave me,throw it in your heart
oh that's cool,Even I think I am very cool.
I'm in a good mood today,Tomorrow will be better than today.
I just want to rest today,Don't think about anything and rest.
feel good today,I like it too.
I can't explain how I feel today,I hope it's good.
How should I feel today,I hope it's good.
The road was so blocked today,The road always seems to be blocked.
The road was blocked today,The road always seems to be blocked.
I forgot today and didn't bring anything,You just need to bring the concept.
I look pretty good today,I guess I got a bean pod on myself.
"The weather today is nice, I want to go out to play",Go play with your friends.
the weather is killing today,go on an outing
have a good day today,Look at the sky and smile.
so sleepy today,Go to bed early today.
i'm so tired today,Rest well.
today is so hard,I had a lot of trouble.
I slept in again today,I must have been tired.
I lived another day today,Make a little change today.
I want to eat ramen today,Enjoy your meal.
I need to eat ramen today,Enjoy your meal.
I didn't wash my hair today,Always keep it clean.
I couldn't meet you today,You'll see it tomorrow.
what day is it today,Could it be that you don't remember?
I drank a little water today,Get into the habit.
What are you wearing today?,clothes.
What fun are you doing today?,Today is entertainment.
How's the fine dust today?,I wish I could just breathe.
It's a full moon today.,Make a wish.
It's a full moon today,You must have seen my face.
Received an award today,congratulations.
It's colder than I thought today,Be careful of cold.
I didn't bring anything today,You just need to bring the concept.
Is it overtime today,You are suffering a lot today.
how cold is it today,Let's go strong today.
I'm out of luck today,I guess I'm saving my luck to spend it elsewhere.
bad luck today,I guess I'm saving my luck to spend it elsewhere.
There are no seats on the subway today.,There are days like that.
"I didn't do any work today, but I'm very tired",I must have done some mental work.
what shall we eat tonight,Eat something delicious.
this evening,Eat something delicious.
what to eat for lunch today,Eat something delicious.
today's lunch,Eat something delicious.
It seems a bit dry today,"""Mist or humidifier Try using a wet towel or something."""
I'm a bit busy today,Do your best even if you are busy!
What are you saying as if you were late today?,Be honest rather than making excuses.
Too many things to do today,Try one by one.
I have a lot of work to do today,Try one by one.
It's my first day at work today,I will be very nervous.
Ultrafine dust is severe today,wear a mask
What skirt and pants are you wearing today?,I think pants would be nice today.
I won't get out of bed today,Become one with the bed and have a good rest.
I'm going to sleep with a pack today,Do you even take care of your skin?
The day ends like this,It's the start of tomorrow.
the sun is good today,Photosynthesis is recommended.
I put on makeup today,Try exfoliating.
I'm not wearing makeup today,Try exfoliating.
I'm not having a party today,Eat something delicious.
It's the same today or yesterday,Try making small changes.
The air is cloudy today,Wear a mask and go out.
just today,Feel the small happiness.
I just went there today too.,Feel the small happiness.
I don't want to go to work every day.,Think about payday and bear with it.
today is over,It's the start of tomorrow.
The weather is cloudy today,Wear a mask and go out.
You're going like this again today,Be grateful for the small things.
Today is the same as yesterday,Try making small changes.
I'm really stuck on my way home from work today,Relax and listen to the radio.
I'm calm today,I hope tomorrow will be peaceful too.
Start strong today,I cheer for you!
It's making it so hard today.,I think human relationships are the hardest.
miss you today,me too.
I need to get paid today,You can do that.
I'll have to make a payment today,You can do that.
Can I not go to church today?,Why?
I feel good today,I like it too.
what are you wearing today,It's something I worry about every morning.
what else do you eat today,Enjoy whatever you eat!
How are you holding up today?,tomorrow will be better
what shall we eat today?,Eat something delicious.
I can't see any stars today,Look up at the sky in the secluded countryside.
I only eat salad today,It's a healthy diet.
I want to rest today,Don't think about anything and rest.
A real big clean up today.,It's good for your health too.
I want to stay at home today,I also need time to rest at home.
Today is chicken and beer,Run!
The waves are calm today,I'd love to clear up my thoughts.
I don't want to go to school today,It's good when you go to school.
Today is the thousandth day,congratulations.
Shall I go to the audition?,Cheers to the challenge.
Shall I try the audition?,Cheers to the challenge.
want to live long,Eat well and buy well.
want to live long,Don't stress.
I should live a long time,Don't stress.
I should live a long time,Eat well and buy well.
old is better,Old things have the charm of being old.
Some old things are good,Old things have the charm of being old.
I can't understand even if we're together for a long time,There is no complete understanding.
It was good because I was nervous after a long time,The trembling emotions are precious in themselves.
Seeing you for the first time in a while made me shudder,He must have been someone he liked a lot.
It's been a while since I went to the bookstore,I hope you fill the form of your heart.
Shopping after a long time,I hope you got it.
I want to eat steak after a long time,bon appetite.
I ate breakfast after a long time,It's a good eating habit.
I want to go see the aurora,It's a romantic trip.
I want to go on a trip to see the aurora,It's a romantic trip.
Shall I tell you a creepy story?,Please.
Do not come,I'm not going.
i want to buy a motorcycle,Save up a dime or two and buy it.
Are motorcycles dangerous?,Probably so.
i wish i had a motorcycle,Save up a dime or two and buy it.
i want to ride a motorcycle,I think it would be dangerous.
I want to ride a motorcycle but I'm scared,Probably so.
I want to go riding a motorcycle,I think it would be dangerous.
"In the afternoon, my face gets oily",Wash your face and come.
Should I plant something on the roof?,Air purifying plants would be great too.
"You said you'd come, but why didn't you come?",Please wait a little longer.
It's been bad this year,It must be Samjae.
why are you doing this this year,It must be Samjae.
why are you doing this this year,Take a look at the order.
why are you doing this this year,Can you guess next year?
Why is this year so messed up,Take a look at the order.
weird this year,Can you guess next year?
I wish you good health this year,It's the most important goal.
I have nowhere to hang my clothes,Organize your last season's clothes.
buy me clothes,Payday is still far away.
buy me some clothes,Payday is still far away.
I have a lot of clothes but nothing to wear,Buying and buying clothes is not enough.
my clothes are all wet,Be careful of cold.
Closet is getting smaller,Organize your last season's clothes.
and goosebumps,Hope it's good.
and sports meet,Check the weather forecast.
Would you like some wine?,That's great.
wine call?,I can't drink alcohol.
Shall we have a glass of wine,I can't drink alcohol.
Have a glass of wine,That's great.
I want to buy a waffle machine,"If you haven't tried it a few times, just buy it and eat it."
want to buy a waffle machine and make it at home,"If you haven't tried it a few times, just buy it and eat it."
I want to eat waffles,Grab a drink at a nearby cafe.
I want to do something perfect.,No one is perfect and cannot be perfect.
I want to be a perfect person,No one is perfect.
want to be perfect,No one is perfect.
how to be perfect,No one is perfect and cannot be perfect.
feeling full of shit,congratulation!
He said he did well with a perfect copy,"If it's an ability, it's an ability."
waste of time,Do something else.
it's not fun at all,Let's talk until we laugh
Totally frustrated.,It's time to wake up.
I feel like I've been bullied,Ask your teacher for help.
bullying spring,Get along well with your friends.
King dumplings are delicious,I think it will be delicious.
Why did you suddenly contact me?,I guess it was to make you worry like this.
Why do you keep sighing?,It's a natural phenomenon to supply energy to brain cells. I guess I'm low on energy.
I don't know why I should study,Your future spouse will change.
Why do I have to listen to education,You must be interested in your major.
I don't know why,Think a little more.
why do you doubt me,Look back on your usual behavior.
why do only me,I think it's because it's good.
why do you hurt me,It is fundamental not to harm others.
Why should I?,It will be a process to find out why.
why don't you reply,It may be a busy situation.
why no money,Cut down on shopping.
Why are you making me do it?,I think it's because it's good.
"Why can't I speak, can't I speak?",I am working on it.
why can't you understand,I am working on it.
Why is it always me who is deceived?,Pleasantly fool me.
why do you blame,Take it as a word of criticism for growth.
why live,Because being alive has meaning in itself.
Why do you fall off the paperwork?,There will be a place where you can pass.
Why are my grades not going up?,It is urgent to find a study method that suits me.
I don't even remember why we fought,So it's a fight.
why not,Confess first.
why does this happen,Someone else will too.
why don't you have money,It's sad.
why are you so lonely,Make friends.
Why were you born this way?,The reason we were born differently is to have our own voice. Please hear your own voice.
why do you say weird things,I will try harder.
Why did you ask to meet now?,I guess it was to make you worry like this.
Why are you looking for it now?,I guess it was to make you worry like this.
Why did you contact me now?,I guess it was to make you worry like this.
Why did you come only now?,I guess it was to make you worry like this.
Why can't I sleep?,I think it's because I have too many thoughts.
why can't i get promoted,You can do it if you work hard.
why don't you reply to kakaotalk,It may be a busy situation.
why is it so cold,Dress warmly.
Do I need to speak a foreign language,It's a good tool.
Is foreign language required?,It's a good tool.
lonely,Make friends.
lonely,You are not alone.
I'm not confident about my appearance,You can have confidence.
ate out too much,Reduce it a bit next month.
I want a foreign car,I want to ride too.
I want to ride a foreign car,I want to ride too.
I wish I was more extroverted,I like my personality now.
What's wrong with being left-handed?,Absolutely not.
Is it wrong to be left-handed?,Absolutely not.
Aunts from yoga are interfering,Ignore it.
"I'm doing yoga, but the ladies are meddling",Ignore it.
cooking is fun,It is a pleasure to make and eat.
cooking is fun,It is a pleasure to make and eat.
what are you doing this vacation,Make a plan step by step.
Ads are too long these days,Please turn the channel.
Why am I like this these days,Take a break.
I'm so bored these days,You can change it as much as you like.
The news isn't funny these days,Be interested.
There's nothing going on these days,Things will work out from now on.
The drama these days is so much fun,I like drama too.
I'm craving drama these days,I like drama too.
People are scared these days,You're getting to know life.
I'm not feeling well these days,"If it still doesn't feel well, go to the hospital."
I have nothing to laugh about these days,Try to force yourself to smile!
I keep forgetting these days,Get into the habit of taking notes.
I keep forgetting these days,Get into the habit of taking notes.
sleep late these days,Get into the habit of going to bed 30 minutes earlier.
can't sleep these days,Sleep is the best medicine. Try it.
I'm out of my mind these days,There are times like that.
I'm jogging today,It's a healthy habit.
There are a lot of things to be careful of these days,It's a scary world.
What's hot these days?,That's me.
what's hot these days,That's me.
I guess I need to be good at foreign languages these days,It's a world where you want more and more.
I guess I need to be good at Chinese these days,It's a world where you want more and more.
I cursed at my girlfriend,"If you judge that you may make a mistake at the moment, forgive and give it a chance."
YOLO!,Enjoy the present!
too little pocket money,tell me to upload it
I spent all my pocket money,Try Alba.
Should I ask for pocket money?,if you need
Received pocket money,I feel good.
I've already spent all my pocket money,tell me to upload it
I don't already have pocket money,Try Alba.
If you give me pocket money,tell me to upload it
Should I ask for an increase in my allowance?,tell me to upload it
give me pocket money,I have no money.
let's play together,I am doing it now.
we keep passing each other,I guess the timing wasn't right.
There's a kid in my class that I like,Give a little tea.
My husband came back late,Talk about why you're late.
We had a good mood,It must have been good to have feelings for each other.
I wish we had a cat in our house.,Grow yourself first.
A kid in our department is kind,Give a little tea.
"We are good, why are you against it?",I must have hit a wall of reality.
I think my house is ruined,Pick up and study.
"I think my house is ruined, what should I do?",Try to be helpful at home.
my house is ruined,Pick up and study.
come over to my house,please tell me the address.
Shall we ask to share an umbrella?,Be brave.
I left my umbrella,"Next time, write your name and contact information on the umbrella."
I left my umbrella again,Rent an umbrella nearby.
Should I buy another umbrella?,"Next time, write your name and contact information on the umbrella."
I didn't bring an umbrella,Rent an umbrella nearby.
How many umbrellas do you buy?,"Next time, write your name and contact information on the umbrella."
"I don’t have an umbrella, should I ask to share it with you? Is it too clich??",Be brave.
I lost my umbrella,"Next time, write your name and contact information on the umbrella."
Shall I ask for an umbrella?,Say it.
I waited for you with an umbrella,He is like an umbrella.
I don't have an umbrella. Should I borrow it?,Say it.
how to get angry gracefully,Be clear about what you want.
"We met by chance, but it became fate",That's a great word.
Coincidence became destiny,That's a great word.
met again by chance,Coincidence can become inevitable.
I think I'm depressed,I hope your mental illness gets better little by little.
what is friendship,You're with me when it's hard.
